casts,directors,imdb_link,rate,release_date,runtime,title,type
,,,9.7,,,肖申克的救赎,
,,,9.6,,,霸王别姬,
,,,9.5,,,阿甘正传,
,,,9.4,,,千与千寻,
,,,9.4,,,这个杀手不太冷,
,,,9.4,,,泰坦尼克号,
,,,9.5,,,美丽人生,
,,,9.5,,,辛德勒的名单,
,,,9.4,,,忠犬八公的故事,
,,,9.3,,,盗梦空间,
,,,9.3,,,海上钢琴师,
,,,9.3,,,楚门的世界,
,,,9.6,,,控方证人,
,,,9.3,,,星际穿越,
,,,9.2,,,疯狂动物城,
,,,9.3,,,放牛班的春天,
,,,9.3,,,机器人总动员,
,,,9.2,,,三傻大闹宝莱坞,
,,,9.2,,,大话西游之大圣娶亲,
,,,9.3,,,熔炉,
